date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:52:58	28902/28902	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:36:37%20GMT	http://www.w3schools.com/xsl/el_when.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xsl/el_when.html	(from http://www.w3schools.com/xsl/xsl_w3celementref.asp)
12:53:02	31602/31602	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:03%20GMT	http://www.w3schools.com/xml/el_any.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_any.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:02	30806/30806	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:01%20GMT	http://www.w3schools.com/xml/el_all.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_all.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:03	29288/29288	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:02%20GMT	http://www.w3schools.com/xml/el_annotation.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_annotation.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:05	31143/31143	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:03%20GMT	http://www.w3schools.com/xml/el_anyattribute.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_anyattribute.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:08	29044/29044	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:04%20GMT	http://www.w3schools.com/xml/el_appinfo.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_appinfo.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:12	30357/30357	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:05%20GMT	http://www.w3schools.com/xml/el_choice.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_choice.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:12	30065/30065	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:05%20GMT	http://www.w3schools.com/xml/el_attributegroup.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_attributegroup.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:13	30839/30839	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:06%20GMT	http://www.w3schools.com/xml/el_complexcontent.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_complexcontent.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:21	33660/33660	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:23:17%20GMT	http://www.w3schools.com/xml/el_attribute.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_attribute.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:23	36567/36567	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:09%20GMT	http://www.w3schools.com/xml/el_element.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_element.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:24	29196/29196	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:07%20GMT	http://www.w3schools.com/xml/el_documentation.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_documentation.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:25	32473/32473	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:46:28%20GMT	http://www.w3schools.com/xml/el_extension.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_extension.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:34	31180/31180	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:11%20GMT	http://www.w3schools.com/xml/el_group.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_group.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:35	29433/29433	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:37:53%20GMT	http://www.w3schools.com/xml/el_import.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_import.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:36	33332/33332	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2005:46:38%20GMT	http://www.w3schools.com/xml/el_complextype.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_complextype.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:37	29618/29618	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:36:14%20GMT	http://www.w3schools.com/xml/el_include.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_include.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:53:38	29205/29205	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:58:10%20GMT	http://www.w3schools.com/xml/el_field.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xml/el_field.html	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
